Account,Winnings (ETH),Amount Wagered,ROI,Trades
0x84d969...,1.75,0.75,233.30%,1
0xef42cf...,1.75,0,499900%,1
0xedcf6e...,1.73,4.57,37.90%,20
0x99d1f5...,1.73,9.92,17.40%,22
0xfbd94e...,1.66,2,83.20%,1
0xa42015...,1.6,2.4,66.70%,1
0xb0e15d...,1.58,8.92,17.70%,12
0x82a843...,1.55,0.4,384.50%,5
0x4f5273...,1.54,6.39,24.20%,12
0xe9daeb...,1.52,2.49,61.10%,2
0x018f02...,1.5,26.5,5.70%,28
0x31a48f...,1.46,0.56,262.90%,4
0xd665f3...,1.4,0.1,1400%,4
0xfdae0a...,1.37,4.63,29.50%,8
0x05ef80...,1.36,79.2,1.70%,60
0x9f1e52...,1.35,0.15,900%,2
0x86f814...,1.34,1.61,83.50%,1
0x77bed8...,1.33,18.67,7.10%,9
0x364fcd...,1.33,30.67,4.30%,9
0xc5bc35...,1.32,1.03,127.20%,5
0x566e76...,1.32,0.88,150%,1
0xd6756d...,1.28,0.82,156.40%,13
0x8ad68e...,1.25,5.6,22.20%,3
0x16ad3f...,1.25,1.19,104.40%,5
0x4c1b9e...,1.18,0.3,400%,1
0x63318e...,1.16,3.36,34.50%,7
0xd68a8e...,1.15,4.35,26.30%,6
0xbadcf5...,1.14,0.46,247.80%,2
0xd2bc4e...,1.13,1.97,57.30%,2
0x4f2fc9...,1.12,0,49900%,2
0x45f1e5...,1.09,4.34,25%,3
0xff5363...,1.07,3.42,31.40%,7
0xc58a5a...,1.06,7.54,14%,16
0x35b747...,1.05,7.39,14.20%,11
0x7f8676...,1.04,1.2,86.70%,4
0xef422d...,1.02,0.5,203%,1
0x3d95c4...,1.01,2.49,40.80%,10
0xaa6a4d...,1,1,100%,1
0x2770eb...,0.99,0.03,3939%,5
0x063a94...,0.98,0.96,101.70%,8
0x703993...,0.96,0.24,403.50%,3
0x74d2e9...,0.94,5.19,18.10%,9
0xbc99bf...,0.92,7.18,12.80%,6
0x3918b8...,0.92,2.88,32.10%,15
0x80e774...,0.9,0.1,900%,1
0x454adf...,0.89,1.56,57%,16
0x99914d...,0.89,15.76,5.70%,36
0x35e537...,0.88,7.55,11.70%,7
0x759596...,0.88,3.82,23%,16
0x81ce9c...,0.88,8.86,10%,66
0x35e352...,0.85,0.15,566.70%,1
0x363d32...,0.85,4.95,17.30%,2
0x354169...,0.85,1.16,72.90%,2
0x9634b3...,0.85,1.15,73.90%,2
0xd861e6...,0.84,62.78,1.30%,117
0x5a6063...,0.83,2.17,38.20%,5
0xab13d1...,0.83,5.39,15.40%,11
0x08a203...,0.82,0.98,82.70%,3
0xa62f84...,0.82,2.66,30.90%,3
0x758c32...,0.81,21.09,3.90%,15
0xd8fba5...,0.8,0.2,400%,4
0x00c832...,0.8,1,80.20%,1
0xac75b7...,0.8,16.45,4.90%,41
0x7fbd88...,0.78,2.76,28.30%,5
0xd3a6fd...,0.77,1.46,52.60%,14
0xee7b08...,0.77,9.31,8.30%,17
0xd98e44...,0.75,5.46,13.80%,10
0xa935e9...,0.74,0.9,81.80%,1
0x3b0416...,0.74,1.02,72.40%,1
0xb7747c...,0.73,1.38,52.90%,4
0x9a7a7d...,0.71,0.49,145.40%,5
0xc03e6f...,0.71,0.01,5327.60%,1
0x08a1eb...,0.71,0.43,167.60%,2
0x217ba1...,0.7,0.8,87.50%,2
0x631be4...,0.69,0.32,217.50%,1
0x3f3f76...,0.67,6.05,11.10%,1
0x043511...,0.67,0.83,81.40%,6
0xe5e5ef...,0.67,0.58,116%,4
0x337c3f...,0.66,0.34,194.10%,2
0xc74ba0...,0.66,3.6,18.50%,11
0x0b376a...,0.66,0.97,68.80%,6
0x8ead24...,0.66,0.42,158.40%,5
0x70313c...,0.65,1.15,57%,6
0x83825a...,0.65,6.24,10.40%,6
0x210a22...,0.64,0.68,93.80%,2
0xe6056f...,0.64,0.79,80.90%,3
0xa7c855...,0.64,1.36,47.10%,1
0x52b33a...,0.63,1.75,36.10%,1
0x4d5793...,0.6,8.7,6.90%,6
0x3c92e1...,0.59,0.99,59%,1
0x271887...,0.59,1.45,40.80%,2
0x08e0c6...,0.58,5.52,10.50%,4
0x8d333b...,0.57,0.37,152.80%,3
0x691602...,0.57,6.46,8.90%,12
0xf8b316...,0.56,0.84,66%,4
0x314bfd...,0.55,7.3,7.50%,9
0xefed04...,0.55,4.95,11.10%,1
0x448a38...,0.55,11.52,4.80%,11
0x5c035b...,0.55,2.45,22.40%,3
0xeba6a1...,0.55,17.47,3.20%,7
0x0ec8f9...,0.52,1,52%,3
0x84f0bf...,0.52,0.71,73.60%,5
0xcab2f5...,0.52,1.48,35.10%,4
0x9e7599...,0.51,1.35,38.10%,7
0x700d0f...,0.51,2.66,19%,28
0x671685...,0.5,3.05,16.40%,28
0xe46558...,0.5,9.5,5.30%,1
0xa0af40...,0.5,0.5,100%,1
0x6c5d5a...,0.48,0.35,136%,7
0xce13c1...,0.48,1.02,47%,2
0x097710...,0.47,0.12,400%,4
0x5ac163...,0.46,13.86,3.40%,23
0xcf0c8e...,0.46,19.54,2.30%,3
0xbfdc90...,0.46,0.64,71.60%,2
0x5eb2ad...,0.46,0.41,112.50%,4
0xaf9e08...,0.46,0.1,459.10%,2
0x007efd...,0.46,1.95,23.60%,6
0x4fbc8f...,0.46,0.55,83.50%,1
0x1f670d...,0.45,2.35,19%,2
0xbc77fc...,0.44,0.07,669.20%,1
0x8cac16...,0.42,0.58,72.40%,1
0xd15bb4...,0.42,1.74,24.40%,6
0x2cffaf...,0.42,3.05,13.90%,11
0x5ce724...,0.41,0.48,85%,8
0xb8a501...,0.41,3.82,10.60%,19
0x11ac6d...,0.41,0.9,45.30%,4
0xda3372...,0.4,0.1,400%,1
0x230fa8...,0.4,0.1,400%,1
0x3fa6a0...,0.4,0.49,83.30%,1
0x729f98...,0.4,0.1,400%,1
0x05bb16...,0.4,0.9,45.20%,4
0xc3841a...,0.4,0.6,66.70%,2
0x8e362c...,0.39,0.65,59.40%,3
0x35e2e4...,0.39,9.56,4%,15
0x03fe94...,0.38,0.42,92.30%,1
0x1eb324...,0.38,0.47,81.80%,1
0x6a60e7...,0.38,0.56,67.70%,2
0xd34db2...,0.38,0.93,41.10%,3
0x3e7725...,0.38,0.12,316.70%,1
0x69ed89...,0.37,1,37.40%,3
0x0b2b35...,0.36,1.25,28.90%,2
0xd4c11f...,0.35,2.18,15.80%,14
0x4c7551...,0.34,0.41,83.50%,1
0xe3233d...,0.33,1.33,24.70%,5
0x5b0a9a...,0.32,0.39,83.50%,1
0x998218...,0.32,0.1,319.60%,2
0xb45de5...,0.32,1.08,29.40%,2
0x662416...,0.32,15.68,2%,4
0xf23e30...,0.31,1.02,30.70%,3
0x6bf1bc...,0.3,4.7,6.40%,1
0xadca0b...,0.3,0.01,4066.70%,1
0x47f0af...,0.3,1.2,25%,3
0x17e31b...,0.29,10.28,2.80%,7
0xfe4f3b...,0.29,0.71,40.80%,9
