Account,Winnings (ETH),Amount Wagered,ROI,Trades
0x8a406f...,0.01,0.01,96.80%,3
0x8b5789...,0.01,0.05,11.10%,1
0x2500a4...,0.01,0.04,33.30%,1
0xa4a0ec...,0.01,0.04,25%,1
0x283eec...,0.01,0.02,53.80%,1
0x721ea3...,0.01,0.49,2.80%,2
0xd23538...,0.01,0.01,100%,1
0x8f5704...,0.01,0.02,25.80%,1
0xd0c81e...,0.01,0.03,17%,2
0xd05955...,0.01,0.04,19.20%,2
0x60cf4e...,0.01,0.02,50%,1
0xccaf63...,0.01,0,185.70%,1
0x14f149...,0.01,0,177.80%,1
0x746b08...,0.01,0.04,31.60%,1
0xeb076b...,0.01,0.49,2%,2
0x92b9a7...,0.01,0.09,11.10%,1
0x34c3a5...,0.01,0.01,100%,1
0x1317b2...,0.01,0.01,100%,1
0x121548...,0.01,0.04,12.40%,1
0x1b26c2...,0.01,0,104.10%,1
0x34de6d...,0.01,0.2,5.30%,1
0xefb032...,0.01,0.24,5.50%,1
0x94b9de...,0.01,0.02,66.70%,1
0x958df4...,0.01,0.04,25%,1
0xc968c9...,0.01,0.1,5.30%,1
0xc76c52...,0.01,0.05,23.50%,1
0xc6e9a8...,0.01,0,4900%,1
0x0bc559...,0.01,0.49,2%,1
0x38d6a5...,0.01,0.17,6.40%,1
0x983024...,0.01,0.01,100%,3
0x3d19e5...,0.01,0.01,100%,2
0xbfe3df...,0.01,0.01,66.70%,1
0xbfb3c0...,0.01,0,217.50%,2
0x42cebc...,0.01,0.14,5.30%,1
0x57f095...,0.01,0.12,5.60%,4
0x7819b0...,0.01,0.05,11.10%,1
0x7f36d8...,0.01,0.04,22%,1
0x42e219...,0.01,0.99,1%,1
0x453c02...,0.01,0.04,30.90%,3
0x45db57...,0.01,0.01,81.80%,1
0x4621e5...,0.01,0.09,11.10%,1
0x791e31...,0.01,0.05,19%,1
0xb2df98...,0.01,0.07,11.10%,1
0x485e56...,0.01,0.16,8.20%,6
0xaed2f1...,0.01,0.05,11.10%,1
0x4ada1b...,0.01,0.02,54.50%,2
0xa7ab39...,0.01,0.02,51.50%,1
0xa645e8...,0.01,0.01,100%,1
0xc1b873...,0,0,-86.20%,2
0x5ac843...,0,0,-100%,1
0xc66fd3...,0,0.01,-38.30%,1
0x5b0f6f...,0,0.14,-0.90%,2
0x5b18f1...,0,0.01,-47.40%,1
0x36fb45...,0,0,-100%,1
0xebebc6...,0,0.05,-5.20%,2
0x5bd041...,0,0.04,-7.40%,1
0xc64aa0...,0,0,-100%,1
0xd17342...,0,0.26,1.60%,2
0xf0df00...,0,0,-6.60%,1
0x37fa48...,0,0,27.20%,14
0x386106...,0,0.03,1%,1
0x2c04ba...,0,0.02,-17.50%,2
0x000783...,0,0,-100%,1
0x964de4...,0,0.02,25%,1
0xd7e09d...,0,0.1,0%,3
0xb1edd3...,0,0.06,-2.50%,2
0x961bc3...,0,0.18,0%,1
0x1b2093...,0,0,-7.40%,1
0x0113e3...,0,0.05,0%,1
0x955ae1...,0,0,-100%,1
0xeb3a9d...,0,0,-100%,1
0x393376...,0,0.1,4.20%,1
0x5e7b64...,0,1.21,-0.30%,5
0xc4f8e0...,0,0.02,-0.80%,3
0xe20aba...,0,0.02,-16.70%,2
0x06dcf9...,0,0.02,5.30%,1
0x147c07...,0,0.02,-14.80%,2
0x495b7c...,0,0.18,0%,1
0xf5ebcc...,0,0.1,-3.80%,2
0xc3709a...,0,0.03,-9.10%,2
0xfb28b2...,0,0.01,38.90%,2
0xc26733...,0,0,0%,1
0xae41da...,0,0,-100%,1
0x903ddd...,0,0,100%,1
0x62caff...,0,0,-100%,1
0xfe09fd...,0,0,8.10%,1
0x015415...,0,0.01,-12.30%,1
0x62feb9...,0,0.22,0%,1
0xad3960...,0,0.28,0%,3
0xcf8df3...,0,0,11.10%,1
0x4a9a40...,0,0,-100%,1
0xac7ebe...,0,5.01,-0.10%,9
0x3b1cda...,0,0.03,-11.90%,3
0x2e50ba...,0,0,-100%,1
0xaba74d...,0,0,150%,1
0x000817...,0,0,11.10%,1
0xf48afe...,0,0.1,1.50%,1
0xab4890...,0,0,-100%,1
0x8f02c3...,0,0.01,0%,1
0x8efe50...,0,0.06,7.30%,3
0x2eb998...,0,0.01,-45.70%,1
0xe16090...,0,0.18,0%,3
0x8efe0d...,0,0.1,-1%,2
0x14e3e8...,0,0,-7.70%,1
0x4b8f2d...,0,0,-100%,1
0x664138...,0,0,-7.30%,2
0x4ba634...,0,0,61.30%,1
0x14ea21...,0,0.05,4.20%,1
0x247fca...,0,0.04,-5.70%,1
0x8ea377...,0,0,-100%,1
0x674067...,0,0.01,0%,1
0xd4f123...,0,0.13,-2.70%,5
0x8e5ece...,0,0.01,-100%,1
0x68390e...,0,0.01,-23%,2
0x00718e...,0,0,-100%,2
0x8e192b...,0,0.01,0%,1
0x8d99cb...,0,0.05,7.50%,1
0x114864...,0,0,-100%,1
0x8d18e2...,0,0,15.10%,12
0xa9d971...,0,0,-100%,1
0xcd5f8f...,0,0.01,3.10%,1
0xc009c7...,0,0,-100%,1
0x696103...,0,0.01,-50%,1
0x4d0f7c...,0,0,-100%,1
0x8c2fd1...,0,0,-100%,3
0xa9a8bf...,0,0,-100%,1
0xa9528c...,0,0.01,66.70%,1
0x8bb2e9...,0,0.04,-1%,2
0x3017c6...,0,0,66.70%,1
0x3dc389...,0,0.01,-4.80%,2
0xa8447b...,0,0.02,-6.10%,1
0x3dea35...,0,0.1,0%,1
0xdee6d2...,0,0,0%,1
0x6a8712...,0,0,-9.90%,1
0x6a9850...,0,0.05,5.90%,1
0x4dc5a2...,0,0,100%,1
0x114898...,0,0.03,-4.70%,1
0xd492d1...,0,0.01,1.50%,2
0x30f0e0...,0,0,191.30%,1
0x0c23f1...,0,0.01,-7.20%,1
0xe8bfe3...,0,0.05,-5.30%,1
0x07e77c...,0,0,-100%,1
0x8a2cce...,0,0.01,-33.30%,1
0x0c54d5...,0,0.04,2.40%,4
0x896324...,0,0.02,-7.40%,1
0xf3e5d3...,0,0.09,-4.20%,4
0xbe6e33...,0,0.01,-67.10%,7
0xa61f1a...,0,0.1,0%,2
0x317c84...,0,0.01,27.70%,3
0xf75b78...,0,0.26,-2%,3
0xa61773...,0,0.1,3.10%,2
0x4fdded...,0,0.01,-30.60%,2
0xee0f96...,0,2,0%,2
0x052a12...,0,0.18,-2.80%,2
0x31e4eb...,0,0.01,66.70%,1
0x325c97...,0,0,-100%,1
0xa4e1d2...,0,0.1,1%,1
0x6dbb95...,0,0.28,-0.50%,6
0x0cbecf...,0,0,0%,1
0x512eae...,0,0.08,1.50%,3
0xcc09d4...,0,0.05,7.50%,1
0x32aa30...,0,0.08,-3.90%,2
0x1208f0...,0,0,-100%,1
0x02a58a...,0,0.01,11.10%,1
0x411be5...,0,0.1,3.10%,2
0xbbbbed...,0,0,-100%,1
0x412f51...,0,0,-100%,1
0xdae190...,0,0.04,-7.40%,1
0x338272...,0,0.02,1.50%,1
0x33881b...,0,0,-100%,1
0xfed0d0...,0,0,-100%,1
0xfae87e...,0,0.02,-7.40%,1
0xba8ec1...,0,0.01,-3.90%,2
0x530cf0...,0,0,-100%,1
0x1223f3...,0,0,-100%,1
0xda5dfd...,0,0,-100%,1
0xb9a83b...,0,0,-100%,1
0xa17ce5...,0,0.06,-9.10%,1
0xa0ddc2...,0,0.03,-13.60%,2
0x544468...,0,0,5.40%,1
0xf309ed...,0,0,-100%,1
0xfd2788...,0,0.03,-3.70%,2
0x0947d4...,0,0.07,5.30%,1
0xd9c447...,0,0.11,-4.80%,2
0x185f56...,0,0,203%,5
0x8498e2...,0,0.01,-50%,1
0x84491b...,0,0.01,-5.20%,2
0xb84145...,0,0,100%,1
0x83f960...,0,0,-6.80%,5
0xb7922c...,0,0,-100%,1
0x9ff205...,0,0,58.70%,1
0x00d821...,0,0,-100%,1
0x126138...,0,0,-100%,1
0x8322e4...,0,0,-22.50%,2
0xb6cbca...,0,0,-100%,1
0xd99b4e...,0,0.01,0%,1
0x9fc764...,0,0,-100%,1
0x8239ff...,0,0,-100%,1
0xe4748b...,0,0.03,0%,2
0x0e0dcd...,0,0.01,-13.70%,3
0x35663b...,0,0,0%,2
0x215fed...,0,0,-100%,1
0xb657f7...,0,0.02,-25.60%,2
0x758f71...,0,0,-100%,1
0x7594c0...,0,0,-100%,1
0xd2357f...,0,0.01,11.10%,1
0x817f4d...,0,0.1,-2.90%,2
0x05f1c3...,0,0.05,-6.90%,1
0x76273d...,0,0,-100%,2
0xb5c351...,0,0.01,-50%,1
0x7fef07...,0,0,-100%,1
0x58068f...,0,0.01,42.90%,1
0xece163...,0,0.01,12.40%,2
0xb542e2...,0,0.01,-34.40%,2
0x13410c...,0,0,47.60%,2
0x7fd9bb...,0,0,40.80%,3
0xb46970...,0,2,0.10%,4
0x779995...,0,0.1,-3.80%,1
0x9cf1fa...,0,0.01,-28%,2
0xd1e348...,0,0.02,4.20%,2
0x58def8...,0,0.3,1%,2
0x9cbf18...,0,0,-100%,1
0xfeaf59...,0,0,-100%,2
0x03c391...,0,0,42.90%,1
0x9c0a38...,0,0.07,1.50%,1
0x1a1705...,0,0,-100%,1
0x784b2d...,0,0.02,20.10%,1
0x59b22f...,0,0.01,25%,1
0x03ed29...,0,0.01,11.10%,1
0x2abe08...,0,0,42.90%,1
0x7e80f2...,0,0.01,88.90%,2
0x7e08b6...,0,0,-100%,1
0x364c09...,0,0.05,-4.80%,3
0x7d9600...,0,0,-100%,1
0xfa1044...,0,0.03,-9.40%,1
0xb3c548...,0,0.03,14.30%,1
0x2211f9...,0,0,0%,1
0x997b1b...,0,0.05,-5.30%,1
0x995dcf...,0,1,0%,2
0x7d4f61...,0,0.01,-43.50%,1
0x2b29e4...,0,0.01,-47.40%,1
0xb35339...,0,0.01,0%,3
0x0f8c00...,0,0,4%,1
0x7a4760...,0,0.1,0%,1
0x7a73d1...,0,0,5.30%,1
0x7b8230...,0,0.11,2.40%,2
0x29ef0c...,-0.01,0.01,-100%,1
0xacf51a...,-0.01,0.01,-100%,1
0x3c91f0...,-0.01,0.01,-100%,2
0xffa2be...,-0.01,0.01,-100%,1
0xa230a1...,-0.01,0.01,-48.30%,1
0x039000...,-0.01,0.02,-33.30%,1
0x010afb...,-0.01,0.18,-7.40%,1
0x9424bf...,-0.01,0.01,-100%,5
0xd3e9d6...,-0.01,0.01,-100%,1
0xa12db9...,-0.01,0.07,-8.70%,2
0x15d9f1...,-0.01,0.01,-100%,1
0x93bfa1...,-0.01,0.01,-100%,1
0x862244...,-0.01,0.07,-7.40%,1
0xfe0088...,-0.01,0.03,-47.40%,2
0x5ff5ee...,-0.01,0.01,-100%,1
0x6fbf93...,-0.01,0.06,-16.70%,1
0xf18815...,-0.01,0.02,-30.60%,1
0x6ff3bb...,-0.01,0.01,-100%,2
0x22864b...,-0.01,0.01,-100%,1
0x187532...,-0.01,1.02,-0.90%,7
0x92ac68...,-0.01,0.01,-100%,1
0xcca9e4...,-0.01,0.08,-12.80%,1
0x560173...,-0.01,0.01,-100%,1
0x90c4ed...,-0.01,0.02,-46%,7
0x6262e7...,-0.01,0.17,-5.70%,1
0x446252...,-0.01,0.01,-100%,1
0x3dc979...,-0.01,0.01,-100%,1
0x2b7cb8...,-0.01,0.01,-100%,4
0x7143a1...,-0.01,0.23,-3.30%,3
0x0dee24...,-0.01,0.26,-3.80%,1
0x569bc1...,-0.01,0.05,-10.20%,4
0x273dcb...,-0.01,0.71,-2%,5
0xe47a48...,-0.01,0.76,-1.30%,2
0x2c1606...,-0.01,0.14,-5.20%,2
0xc6be84...,-0.01,0.01,-100%,2
0x71edcf...,-0.01,0.04,-37.50%,1
0x6365ca...,-0.01,0.01,-100%,1
0x9feab7...,-0.01,0.01,-100%,1
0x8fe275...,-0.01,0.11,-7.20%,1
0xc68993...,-0.01,0.01,-100%,1
0xbf489d...,-0.01,0.01,-100%,1
0x22d941...,-0.01,0.02,-41.80%,5
0xa9b9ef...,-0.01,0.02,-23.50%,3
0xda907a...,-0.01,0.01,-100%,1
0x45bdcb...,-0.01,0.01,-100%,1
0xed8b0f...,-0.01,0.66,-0.90%,5
0x2ccc63...,-0.01,0.01,-100%,2
0xa905b3...,-0.01,0.04,-32%,1
0x4d70eb...,-0.01,0.91,-0.70%,5
0xa862b5...,-0.01,0.31,-3.80%,3
0xe1b7a7...,-0.01,0.01,-100%,1
0xcb993a...,-0.01,0.02,-31.50%,1
0x5861f8...,-0.01,0.02,-52.40%,1
0x37e519...,-0.01,0.16,-9%,9
0x66c18a...,-0.01,0.01,-100%,1
0x3f80f9...,-0.01,0.01,-100%,1
0xd760fd...,-0.01,0.27,-5.50%,31
0x2d0fe5...,-0.01,0.76,-1.30%,2
0x053458...,-0.01,0.03,-21.40%,4
0x16406e...,-0.01,0.01,-100%,1
0xa78465...,-0.01,0.01,-100%,1
0xda13a2...,-0.01,0.03,-39.50%,3
0x9b2802...,-0.01,0.01,-100%,1
0xa66a7e...,-0.01,0.01,-100%,1
0x5985bd...,-0.01,0.01,-100%,1
0x59aa18...,-0.01,0.01,-100%,3
0x339650...,-0.01,0.26,-3.80%,1
0x4f38f2...,-0.01,0.01,-100%,1
0x23dafa...,-0.01,0.51,-1.40%,4
0x9a5982...,-0.01,0.11,-9.10%,3
0x697d27...,-0.01,0.01,-100%,1
0x40af09...,-0.01,0.02,-23.50%,3
0x7fa895...,-0.01,0.03,-21.40%,4
0x0a4ad3...,-0.01,0.01,-100%,1
0xb24856...,-0.01,0.01,-100%,1
0x34113b...,-0.01,0.01,-43.70%,1
0x0a74b7...,-0.01,0.09,-9.40%,1
0x77da10...,-0.01,0.12,-4.80%,2
0x10dbe0...,-0.01,0.01,-100%,1
0xc4121e...,-0.01,0.01,-100%,1
0xe3cc39...,-0.01,0.13,-10.10%,3
0x34a4b7...,-0.01,0.01,-100%,1
0xbb7aa1...,-0.01,0.01,-100%,2
0x787969...,-0.01,0.95,-1.30%,4
0xecbc14...,-0.01,0.01,-100%,2
0x7e84ef...,-0.01,0.15,-9.40%,1
0x34c738...,-0.01,0.06,-16.70%,1
0xe80e8a...,-0.01,0.01,-100%,1
0x5b6711...,-0.01,0.01,-100%,1
0x50ce53...,-0.01,0.01,-100%,1
0x48a9b4...,-0.01,0.01,-100%,1
0x6b563f...,-0.01,0.01,-100%,1
0xba740c...,-0.01,0.01,-100%,1
0x7d72f1...,-0.01,0.01,-100%,1
0x795853...,-0.01,0.05,-25.90%,3
0x797bc8...,-0.01,0.01,-100%,1
0x423368...,-0.01,0.01,-100%,1
0xfb2258...,-0.01,0.01,-100%,1
0xca1fe9...,-0.01,0.01,-100%,1
0xf354fd...,-0.01,0.03,-45.70%,1
0x520c5e...,-0.01,0.11,-9.90%,2
0x7ccc3d...,-0.01,0.01,-100%,1
0x7c8d32...,-0.01,0.01,-100%,1
0xdda897...,-0.01,0.01,-100%,1
0x7c639e...,-0.01,0.01,-100%,1
0x1dffdb...,-0.01,0.01,-100%,1
0xe6e48f...,-0.01,0.11,-5.70%,1
0xe64ea2...,-0.01,0.05,-27.60%,4
0xf7c1d1...,-0.01,0.11,-6.50%,2
0x13d483...,-0.01,0.04,-16.70%,1
0xbf8fe5...,-0.02,0.02,-100%,1
0x1e7a58...,-0.02,0.22,-10.70%,2
0x058251...,-0.02,0.02,-100%,1
0x0dbb74...,-0.02,0.02,-100%,1
0xb188ee...,-0.02,0.02,-100%,1
0x47930c...,-0.02,0.02,-100%,1
0x469d97...,-0.02,0.02,-100%,1
0x7da08f...,-0.02,0.19,-12.30%,1
0x460d38...,-0.02,0.03,-100%,1
0x4562a0...,-0.02,0.02,-100%,1
0xb4168e...,-0.02,0.06,-35.10%,3
0x44255c...,-0.02,0.07,-30.30%,5
0x7e5914...,-0.02,0.52,-4.60%,1
0xefb577...,-0.02,0.04,-64.30%,1
0x4d8c87...,-0.02,0.02,-100%,1
0x7ae29b...,-0.02,0.02,-100%,1
0xa7a3b3...,-0.02,0.02,-100%,1
0x123406...,-0.02,0.02,-100%,1
0xedb7cf...,-0.02,0.17,-12%,6
0xa78efc...,-0.02,0.52,-3.40%,4
0xa6f737...,-0.02,0.03,-100%,1
0x4e4d79...,-0.02,0.02,-100%,1
0xa6919d...,-0.02,0.03,-66.10%,4
0xfa4d26...,-0.02,1.02,-2.40%,2
0xfc1d83...,-0.02,0.02,-100%,1
0x4f7925...,-0.02,0.06,-33.40%,1
0x4273c8...,-0.02,0.02,-100%,1
0xba45e6...,-0.02,2.42,-0.90%,4
0x3fb74c...,-0.02,0.53,-4.80%,1
0xbe9703...,-0.02,0.06,-42.50%,1
0x74bfdc...,-0.02,1.34,-1.80%,25
0x0d3fce...,-0.02,0.32,-5%,4
0xbf92a2...,-0.02,0.02,-100%,1
0xc0ee99...,-0.02,1.47,-1.20%,4
0xc27fa6...,-0.02,0.48,-3.80%,1
0xe6afd2...,-0.02,0.02,-100%,1
0x37bb3f...,-0.02,0.02,-100%,1
0x7290df...,-0.02,0.08,-33.30%,1
0x848ab0...,-0.02,0.12,-16.70%,1
0xf45b78...,-0.02,0.02,-96.60%,3
0x36ae26...,-0.02,0.05,-38.30%,1
0x72866e...,-0.02,0.02,-100%,1
0x350e33...,-0.02,0.42,-5.60%,1
0x960b38...,-0.02,0.22,-8%,3
0xcd44cf...,-0.02,0.02,-100%,1
0xf627e5...,-0.02,0.02,-100%,2
0x25a078...,-0.02,0.04,-49.30%,7
0x63a375...,-0.02,0.03,-100%,1
0x1ba7df...,-0.02,0.16,-12.30%,2
0x2265d2...,-0.02,0.06,-37.50%,1
0x1d604e...,-0.02,0.05,-44.40%,1
0x8e4583...,-0.02,0.03,-100%,1
0x21e876...,-0.02,0.02,-100%,1
0x8df005...,-0.02,0.12,-20%,2
0x68a634...,-0.02,0.02,-100%,1
0xda31db...,-0.02,0.02,-100%,1
0x1f414c...,-0.02,0.02,-100%,2
0x8bd4d9...,-0.02,0.03,-67.40%,3
0x8b91c0...,-0.02,0.02,-100%,1
0x6a2a49...,-0.02,0.02,-100%,1
0x88d322...,-0.02,0.02,-100%,2
0xd05c0c...,-0.03,0.93,-3.30%,10
0x9b2acc...,-0.03,0.2,-17%,10
0xb7174e...,-0.03,0.05,-66.70%,1
0xe46eaf...,-0.03,0.29,-10.10%,2
0xe46adf...,-0.03,0.91,-3.70%,6
0x9a10fc...,-0.03,0.03,-100%,2
0xad9499...,-0.03,0.13,-23.70%,3
0x11caf0...,-0.03,0.03,-100%,1
0xb7c6fc...,-0.03,0.03,-100%,1
0x121253...,-0.03,0.05,-66.70%,1
0x43e4e1...,-0.03,0.18,-17.20%,3
0xfd1be3...,-0.03,0.36,-7.40%,1
0xbb5ad6...,-0.03,0.05,-61.20%,3
0x7aafc3...,-0.03,0.03,-100%,1
0xa32cc4...,-0.03,0.03,-100%,1
0x3f54ee...,-0.03,0.43,-7.40%,2
0xcfee7c...,-0.03,0.16,-16.70%,1
0x2a5d85...,-0.03,0.03,-100%,1
0x26a24b...,-0.03,0.18,-16%,2
0xd3d78c...,-0.03,0.14,-18.40%,3
0x26158c...,-0.03,0.13,-23.60%,4
0x485cbc...,-0.03,0.23,-13%,4
0x256047...,-0.03,0.03,-100%,2
0x53e2fb...,-0.03,0.03,-100%,1
0xd6236e...,-0.03,0.03,-100%,1
0xf4edbd...,-0.03,0.03,-100%,1
0xa0652b...,-0.03,0.03,-100%,1
0x231340...,-0.03,0.04,-76.20%,2
0x4e3938...,-0.03,0.03,-100%,1
0x4a2c5a...,-0.03,0.08,-40.50%,3
0x4ae0db...,-0.03,0.53,-5.70%,1
0xdfb9de...,-0.03,0.08,-36%,3
0x9eee92...,-0.03,0.21,-12.30%,4
0x82bf32...,-0.03,0.03,-100%,2
0xb6fc3a...,-0.03,0.03,-100%,1
0x3cc3dc...,-0.03,0.03,-100%,1
0x3b9183...,-0.03,0.03,-100%,2
0x1db733...,-0.03,0.03,-100%,1
0x13eb43...,-0.03,0.06,-43%,1
0x9d733d...,-0.03,0.03,-100%,1
0xc2af14...,-0.03,0.13,-22.50%,2
0x0c713d...,-0.03,0.13,-22.50%,2
0xc2ef8f...,-0.03,0.58,-5.70%,6
0x1def14...,-0.03,0.73,-3.50%,9
0x368be1...,-0.04,0.38,-10.90%,6
0x3ae9a7...,-0.04,0.05,-100%,1
0x1057be...,-0.04,0.09,-42.90%,3
0x1e0a8b...,-0.04,0.14,-29.10%,1
0x1e17a7...,-0.04,0.04,-100%,2
0xf4b350...,-0.04,0.04,-100%,1
0x4d9c1c...,-0.04,0.04,-100%,1
0x8ad05d...,-0.04,0.05,-76.60%,6
0x783d68...,-0.04,0.04,-100%,1
0x7795d2...,-0.04,0.04,-100%,1
0x88ea91...,-0.04,0.04,-100%,1
0xdb5166...,-0.04,0.1,-41.50%,2
0x038de0...,-0.04,0.09,-41.20%,3
0xebf267...,-0.04,0.04,-100%,1
0x49f9d4...,-0.04,0.04,-100%,1
0x4303fc...,-0.04,0.04,-100%,1
0xf29cbc...,-0.04,0.94,-4.70%,2
0x4d69a1...,-0.04,0.04,-100%,1
0xeb2210...,-0.04,0.1,-39.10%,1
0xa576e7...,-0.04,0.04,-100%,1
0x06666c...,-0.04,0.06,-58.30%,1
0xb9cdd7...,-0.04,0.04,-100%,2
0x212c7e...,-0.04,0.04,-100%,1
0xa4d627...,-0.04,0.14,-29.60%,2
0x447429...,-0.04,0.04,-100%,1
0xb4eef1...,-0.04,0.54,-7.20%,1
0xfc6d4d...,-0.04,0.05,-80%,2
0xbcb4f6...,-0.04,0.04,-100%,1
0xf432d9...,-0.04,0.04,-100%,1
0x163b5f...,-0.04,0.04,-100%,1
0x879b61...,-0.04,0.09,-44.40%,2
0x9f5a2e...,-0.04,0.27,-13.60%,3
0x8e87cb...,-0.04,0.04,-100%,1
0x452386...,-0.04,0.09,-42.70%,3
0xe8271d...,-0.04,0.05,-75%,1
0xf8d575...,-0.04,0.04,-100%,1
0x0d85de...,-0.04,0.04,-100%,2
0x799fc7...,-0.04,0.04,-100%,3
0x4b6826...,-0.04,0.04,-100%,1
0xb1ec29...,-0.04,0.04,-100%,1
0x482be2...,-0.04,0.54,-7.40%,1
0x73e3d5...,-0.04,0.04,-100%,1
0x590abb...,-0.04,0.04,-100%,1
0xc3f58d...,-0.04,0.04,-100%,2
0x4b60d8...,-0.04,0.09,-44.40%,1
0x38cc13...,-0.04,0.04,-100%,1
0xe4273c...,-0.04,0.04,-100%,1
0xb3ab49...,-0.04,0.04,-100%,1
0x9037a7...,-0.04,0.09,-45.70%,2
0x88f659...,-0.04,0.04,-100%,1
0xc73919...,-0.04,0.04,-100%,1
0xc94038...,-0.04,0.09,-46.20%,2
0x2661ae...,-0.04,0.14,-27%,1
0x01a350...,-0.04,0.04,-100%,1
0x1a171a...,-0.04,0.05,-100%,1
0x855205...,-0.04,0.04,-100%,2
0x9173f7...,-0.04,0.07,-52.40%,1
0x2f87c2...,-0.04,0.05,-78.70%,2
0x0b5fd6...,-0.04,0.04,-100%,1
0x85897e...,-0.04,0.04,-100%,3
0xf5d8ba...,-0.04,0.06,-59.20%,2
0x795470...,-0.04,0.07,-52.40%,1
0x602984...,-0.04,0.04,-100%,1
0x940d5d...,-0.04,0.04,-100%,1
0xa8733d...,-0.04,0.55,-8.30%,1
0x9e889a...,-0.05,0.05,-100%,1
0xd01e78...,-0.05,0.06,-100%,1
0x8ac5c1...,-0.05,0.25,-20%,2
0x112e60...,-0.05,0.05,-100%,2
0x435b9a...,-0.05,0.05,-100%,1
0x80e704...,-0.05,0.76,-6.50%,2
0x95408f...,-0.05,0.15,-35.10%,2
0xac4705...,-0.05,0.05,-100%,2
0xac3d0d...,-0.05,0.05,-100%,2
0x0ad828...,-0.05,0.05,-100%,1
0x90d8c9...,-0.05,0.05,-100%,2
0x21347d...,-0.05,1.75,-3%,6
0x61f9f9...,-0.05,0.05,-100%,1
0x987928...,-0.05,0.07,-74.40%,1
0x5aaec4...,-0.05,0.06,-100%,3
0x4e374c...,-0.05,0.07,-76.50%,36
0x2029f5...,-0.05,1.04,-5.10%,23
0xbacbda...,-0.05,0.55,-9.10%,1
0x6ef237...,-0.05,0.1,-49.50%,1
0x62cf4b...,-0.05,0.05,-100%,1
0x51acf9...,-0.05,0.05,-100%,1
0x901bba...,-0.05,0.11,-43.20%,1
0x410094...,-0.05,0.05,-100%,1
0x1abbb1...,-0.05,1.6,-3.40%,2
0xb2b097...,-0.05,0.05,-100%,1
0x733971...,-0.05,0.05,-100%,1
0x1854af...,-0.05,0.95,-5.30%,1
0xd55ff3...,-0.05,0.1,-49.90%,1
0x58be3f...,-0.05,0.06,-100%,1
0xd75c20...,-0.05,0.05,-100%,1
0x6ba3ba...,-0.05,0.05,-100%,1
0x1ef2a5...,-0.05,0.09,-61.30%,3
0xb4be7b...,-0.05,1.06,-4.70%,3
0x6c2b44...,-0.05,0.1,-48.30%,1
0xadb7f8...,-0.05,0.05,-100%,1
0xa30359...,-0.05,0.09,-55.80%,3
0xbe2b3b...,-0.05,0.9,-5.70%,1
0x7e38aa...,-0.05,0.05,-100%,1
0x3f0673...,-0.05,0.05,-100%,1
0xa9e06a...,-0.05,0.06,-100%,3
0x57b454...,-0.05,0.07,-80.80%,1
0xbf44a5...,-0.05,0.05,-100%,1
0x578cf8...,-0.05,1.53,-3.50%,11
0xa6ac53...,-0.05,0.15,-31.50%,2
0xf053ad...,-0.06,0.56,-10.60%,2
0x54211d...,-0.06,0.19,-31.30%,32
0x74dd8f...,-0.06,0.06,-100%,3
0xa9f777...,-0.06,2.26,-2.60%,8
0xd87832...,-0.06,0.16,-37.50%,2
0x82f0c3...,-0.06,0.06,-100%,1
0xe14479...,-0.06,0.09,-68.20%,5
0x8a0cc7...,-0.06,0.16,-38.60%,2
0x0d7215...,-0.06,0.06,-100%,2
0x582746...,-0.06,0.06,-100%,1
0x9e4767...,-0.06,0.06,-100%,1
0xd92c86...,-0.06,0.06,-100%,1
0x7b2e78...,-0.06,0.06,-100%,1
0x124e1f...,-0.06,0.06,-100%,1
0x77fb9c...,-0.06,0.06,-100%,2
0xa46fbc...,-0.06,0.06,-100%,1
0x99a5d4...,-0.06,0.38,-16%,3
0x265afa...,-0.06,0.08,-83.20%,34
0x34faa7...,-0.06,1.06,-5.70%,2
0x422db8...,-0.06,0.06,-100%,1
0xeabf7d...,-0.06,0.43,-14.20%,4
0x2cb35a...,-0.06,0.07,-100%,1
0xfa26ab...,-0.06,0.07,-86.10%,3
0xb84f1b...,-0.06,0.06,-100%,1
0xeffa07...,-0.06,0.11,-52.80%,2
0x3efec8...,-0.07,0.07,-100%,1
0xb740d1...,-0.07,0.08,-88.10%,2
0x7988d0...,-0.07,1.8,-4%,3
0x540366...,-0.07,0.4,-16.80%,2
0xafe8f5...,-0.07,0.14,-48.50%,1
0x33b19a...,-0.07,0.07,-100%,1
0xfe6d53...,-0.07,0.07,-100%,1
0x450459...,-0.07,0.12,-58.30%,2
0xd7bde2...,-0.07,0.07,-100%,2
0xab843e...,-0.07,0.18,-36.90%,2
0x74e3d6...,-0.07,0.2,-38%,26
0x009b56...,-0.07,0.07,-100%,1
0xd27055...,-0.07,0.07,-100%,1
0x13754f...,-0.07,1.67,-4.10%,3
0x6b0d96...,-0.07,0.08,-84.20%,1
0x297e62...,-0.07,0.08,-100%,1
0xafbcc3...,-0.07,0.32,-21.30%,3
0x05c435...,-0.07,0.07,-100%,1
0xd934f4...,-0.07,0.08,-100%,2
0x00c385...,-0.07,0.72,-9.10%,7
0xc921f1...,-0.07,0.1,-65.40%,3
0x680caa...,-0.07,0.82,-8.80%,4
0x06566f...,-0.07,0.07,-100%,1
0x397507...,-0.07,2.27,-3%,10
0x0fa23c...,-0.07,0.07,-100%,1
