"Time";"price";"volume";"price approximation";"volume approximation"
"2018";7.51656193185;4264130.711805556;null;null
"2018";7.14253788665;2888959.6319444445;null;null
"2018";7.59027223754;1736898.6145833333;null;null
"2018";8.48090452424;4261474.743055556;null;null
"2018";8.7916596736;11728576.458333334;null;null
"2018";7.83813260602;3808699.597222222;null;null
"2018";8.11585867148;2291376.2569444445;null;null
"2018";7.35330436569;2216029.454861111;null;null
"2018";8.19574269016;3927364.767361111;null;null
"2018";8.22502219404;6397520.621527778;null;null
"2018";8.19491336411;4415833.46875;null;null
"2018";7.82140287782;1717782.1215277778;null;null
"2018";8.19520282562;2178010.21875;null;null
"2019";8.86850081648;3054783.0625;8.197444291815497;3410029.9935382707
"2019";8.63899299913;4176569.875;8.296090997280665;3453601.331798063
"2019";9.24585836235;3603758.465277778;8.490542876976557;3437328.5454965374
"2019";9.29846614175;2960803.392361111;8.678513014750836;3337489.924637271
"2019";9.52724986419;3996290.048611111;8.882794316772104;3434974.1815458876
"2019";9.39518642838;2287406.9479166665;9.035112668695708;3242376.02916914
"2019";10.0483742314;2426094.2743055555;9.269382759542223;3080116.1854259763
"2019";9.91494437053;3223070.7743055555;9.447383608543932;3070882.790351363
"2019";9.1195744477;3523948.9791666665;9.452919579763968;3128936.2142007505
"2019";9.39752501156;4265584.809027778;9.477170231550872;3322944.4964143713
"2019";9.09403539061;2238877.409722222;9.428012671815265;3161438.1646319972
"2019";8.19413909366;1597700.2222222222;9.211032901704279;2884584.0973601374
"2019";10.1921263894;4191175.4305555555;9.342225821224876;3067433.0286894706
"2019";9.75651116864;15866835.614583334;9.404569151687406;5285173.830874156
"2019";14.011659998;19687695.635416668;10.206634034872591;8106989.123480785
"2019";15.0095402022;88808253.37847222;11.160525208260134;22726010.951708432
"2019";15.1560658978;73645169.69097222;12.075347381561436;34090983.20460833
"2019";17.3594155948;55595867.91319445;13.269809955114699;41131691.76176744
"2019";18.0482748244;56679578.652777776;14.445541778441491;46925430.2642877
"2019";16.8480512464;33725024.28819445;15.241973388690901;47291545.87389184
"2019";15.2819098252;20144626.649305556;15.583590597703965;44063231.93623138
"2019";14.531302796;18271191.770833332;15.629564783666991;39714758.79536269
"2019";14.9242759869;11143597.107638888;15.617585850810972;33846515.83489211
"2019";14.1011812721;10321375.3125;15.381273473560324;28044680.555214133
"2019";13.7502560071;6880358.65625;15.04722794873697;22277823.638338964
"2019";13.0495166178;9257972.309027778;14.597684279345861;17852562.238326207
"2019";11.3361238814;12816124.263888888;13.892285724379365;15111015.86612685
"2019";12.073983776;18539910.920138888;13.387989287140194;14377964.168199632
"2019";12.0310185591;16828475.385416668;12.968655734865056;14144498.50332708
"2019";12.5899950144;13804029.347222222;12.741113355976188;13880983.969440458
"2019";12.7880034695;12305127.340277778;12.633005314786992;13614250.227455173
"2019";14.6881056916;18235637.979166668;12.919782877439825;14479198.70450598
"2019";14.3477946931;26082631.75;13.182910001414307;16689908.191460347
"2019";13.6007118634;16410458.4375;13.319834260085415;17089876.722896628
"2019";13.4684974516;9930023.451388888;13.417787894551832;16178994.733640207
"2019";13.0718740965;10295226.871527778;13.421787501393156;15201015.059456307
"2019";13.1054331538;7908302.993055556;13.404886363865822;13774063.371078376
"2019";13.8836944919;8367472.864583333;13.501066124919715;12486640.052760888
"2019";13.8047531825;12340525.510416666;13.565907100746173;12029718.980777612
"2019";13.6597735451;11209570.927083334;13.59144118429564;11547772.651484026
"2019";13.4645354148;5571018.270833333;13.574574665440476;10249748.162271233
"2019";13.6723287894;13487235.447916666;13.590765686254617;10491752.359239204
"2019";13.4828741392;10557186.888888888;13.574412396163742;10374816.63455129
"2019";13.5040000497;9821138.965277778;13.562948942066376;10230183.049159292
"2019";13.5106374265;6659865.277777778;13.553774146912325;9601797.269629378
"2019";13.4916685241;5646817.579861111;13.541219528557967;8842310.633841876
"2019";13.732436844;5489396.861111111;13.570238862432639;8105124.649348771
"2019";14.1990762855;12171677.677083334;13.679932143369896;8597529.82134771
"2019";14.0639365868;8079540.329861111;13.76295097783006;8442888.33292395
"2019";14.16888283;5436285.892361111;13.856993773457678;7870762.841993611
"2019";13.7627535655;4266938.090277778;13.870190936849296;7146102.1839703275
"2019";13.9526331033;4757107.246527778;13.90478873319218;6576109.1020421535
"2019";14.1415637149;4711003.708333333;13.961735648373327;6080604.823146258
"2019";12.6943348366;6226920.302083333;13.7577359985217;5935419.924951178
"2019";13.19369449;5630184.149305556;13.63749603655535;5766444.850893059
"2019";13.01713229;4806361.829861111;13.494416933589834;5515467.470770307
"2019";12.8135165923;4734136.614583333;13.33081370290052;5302817.607284553
"2019";12.6019790766;5529903.465277778;13.15166948486025;5274840.502529527
"2019";12.7823889034;3924938.1006944445;13.030231520087096;5007700.605165711
"2019";12.6989155595;4213132.229166667;12.922783755645142;4823977.686071269
"2019";12.8743113328;4518322.118055556;12.872687983219354;4723473.3059928585
"2019";12.3065421378;6170314.5;12.74697276940357;4931671.328512598
"2019";12.7635643427;4797758.815972222;12.720166995620028;4912512.786266824
"2019";12.6773310109;5081708.732638889;12.694800198707291;4945477.322962949
"2019";12.9278741223;4885676.5625;12.724223667519274;4946239.155099849
"2019";12.7585205085;6616648.628472222;12.73032845406413;5246578.1007156605
"2019";13.1448104642;7809315.552083333;12.805162999079084;5743196.884125207
"2019";13.6226588571;6425318.097222222;12.96097871790694;5967893.823350059
"2019";14.5608593611;13140869.378472222;13.270797744690219;7311184.25401704
"2019";13.9824585505;12549614.517361112;13.460328358895033;8473702.278571047
