,Unnamed: 0,Date,openInterestInEth
0,0,736885,57.8196
1,1,736886,242.605082775
2,2,736887,269.965182775
3,3,736888,313.847382775
4,4,736889,453.095382775
5,5,736890,518.672504525
6,6,736891,838.317504525
7,7,736892,1445.913504525
8,8,736893,1976.963104525
9,9,736894,2387.425904525
10,10,736895,2761.985904525
11,11,736896,3081.176904525
12,12,736897,3091.596904525
13,13,736898,3120.727804525
14,14,736899,3146.723610525
15,15,736900,3184.9220593943205
16,16,736901,3090.827585554781
17,17,736902,3159.543595554781
18,18,736903,3170.974495554781
19,19,736904,3185.433285554781
20,20,736905,3215.454485554781
21,21,736906,3203.8054855547807
22,22,736907,3260.269585554781
23,23,736908,3317.664585554781
24,24,736909,3284.5534870547963
25,25,736910,3304.010187054796
26,26,736911,3337.848187054796
27,27,736912,3357.716187054796
28,28,736913,3390.377087054796
29,29,736914,3438.3270870547963
30,30,736915,3446.9612870547962
31,31,736916,3449.8520870547964
32,32,736917,3464.8759541280656
33,33,736918,3509.4733541280657
34,34,736919,3538.2033541280657
35,35,736920,3538.1332541280663
36,36,736921,3719.951254128066
37,37,736922,3695.845554128066
38,38,736923,3712.280554128066
39,39,736924,3711.6509541280657
40,40,736925,3712.1447241280657
41,41,736926,3714.6447241280657
42,42,736927,3747.279724128066
43,43,736928,3774.209324128066
44,44,736929,4014.9814145245678
45,45,736930,4026.686514524568
46,46,736931,4035.873614524568
47,47,736932,4053.716614524568
48,48,736933,4087.716614524568
49,49,736934,4091.6365145245677
50,50,736935,4102.097414524568
51,51,736936,4077.182914524568
52,52,736937,4079.133014524568
53,53,736938,4082.263014524568
54,54,736939,4094.417014524568
55,55,736940,4106.148015524568
56,56,736941,4116.028015524568
57,57,736942,4142.385748191235
58,58,736943,4116.969748191234
59,59,736944,4134.800448191235
60,60,736945,4147.318448191235
61,61,736946,4156.128448191234
62,62,736947,4295.623458191235
63,63,736948,4307.107758191234
64,64,736949,4322.142768191235
65,65,736950,4236.889868191234
66,66,736951,4233.899968191235
67,67,736952,4250.168968191235
68,68,736953,4320.334368191235
69,69,736954,4326.9709681912345
70,70,736955,4351.242116065075
71,71,736956,4367.1251160650745
72,72,736957,4359.3751160650745
73,73,736958,4415.333449398403
74,74,736959,4425.050149398403
75,75,736960,4430.553849398402
76,76,736961,4441.7936493984025
77,77,736962,4459.936149398402
78,78,736963,4463.592816065075
79,79,736964,4469.215006065075
80,80,736965,4483.773006065075
81,81,736966,4504.373437961912
82,82,736967,4534.463637961911
83,83,736968,4548.180137961912
84,84,736969,4554.592137961911
85,85,736970,4659.147137961912
86,86,736971,4678.490137961911
87,87,736972,4685.190137961911
88,88,736973,4688.931137961911
89,89,736974,4758.989137961911
90,90,736975,5102.09806454011
91,91,736976,5116.498064540109
92,92,736977,5159.408064540109
93,93,736978,5113.900064540109
94,94,736979,5131.28606454011
95,95,736980,5170.266064540109
96,96,736981,5189.1347597775675
97,97,736982,5238.8303597775675
98,98,736983,5242.4103597775675
99,99,736984,5263.731359777567
100,100,736985,5128.422711903726
101,101,736986,5145.922711903727
102,102,736987,5632.758843156259
103,103,736988,5679.828143156258
104,104,736989,5727.649243156258
105,105,736990,6320.412243156258
106,106,736991,6346.51924315626
107,107,736992,6260.569243156258
108,108,736993,7099.978243156259
109,109,736994,7150.861343156259
110,110,736995,7241.347343156259
111,111,736996,7429.385343156258
112,112,736997,7474.5805431562585
113,113,736998,8292.493543156259
114,114,736999,8317.282143156259
115,115,737000,8345.25489315626
116,116,737001,8439.51124315626
117,117,737002,8913.303160156258
118,118,737003,9252.40416015626
119,119,737004,10179.336460156259
120,120,737005,12016.677492003571
121,121,737006,11971.016722003576
122,122,737007,12024.966822003571
123,123,737008,12188.346422003571
124,124,737009,12626.111260164165
125,125,737010,12737.558260164165
126,126,737011,12753.228860164167
127,127,737012,12752.887960164167
128,128,737013,12747.253860164165
129,129,737014,12706.991560164164
130,130,737015,12708.233260164165
131,131,737016,12722.652060164164
132,132,737017,12721.544228316852
133,133,737018,12721.526745796853
134,134,737019,12716.528945796854
135,135,737020,12721.713645796854
136,136,737021,12731.653245796853
137,137,737022,12788.744745796854
138,138,737023,12811.904345796853
139,139,737024,12813.522945796853
140,140,737025,12835.694945796853
141,141,737026,12838.110545796853
142,142,737027,12818.595145796853
143,143,737028,12817.829745796853
144,144,737029,12842.171445796854
145,145,737030,12867.000845796852
146,146,737031,11857.257445796853
147,147,737032,11855.339345796852
148,148,737033,11857.194745796853
149,149,737034,11766.536745796853
150,150,737035,11804.796345796853
151,151,737036,11681.396345796853
152,152,737037,11673.745345796853
153,153,737038,11678.235345796853
154,154,737039,11687.505345796853
155,155,737040,11681.175345796853
156,156,737041,11606.253745796854
157,157,737042,11641.033645796853
158,158,737043,11644.946645796854
159,159,737044,11631.527645796854
160,160,737045,11614.968145796853
161,161,737046,11618.318145796853
162,162,737047,11618.163645796853
163,163,737048,11621.834645796853
164,164,737049,11644.855238796854
165,165,737050,11651.416238796854
166,166,737051,11963.154238796853
167,167,737052,11963.084238796853
168,168,737053,11968.654238796853
169,169,737054,11998.896938796854
170,170,737055,12009.674238796853
171,171,737056,11981.254238796853
172,172,737057,12025.174238796853
173,173,737058,12041.959238796853
174,174,737059,12010.440338796852
175,175,737060,11955.030338796852
176,176,737061,11944.898838796853
177,177,737062,11966.048838796853
178,178,737063,11929.508838796854
179,179,737064,11935.168838796853
180,180,737065,11947.378838796853
181,181,737066,11957.988838796853
182,182,737067,11974.775838796853
183,183,737068,11973.842838796852
184,184,737069,11877.926837296836
185,185,737070,11886.127837296835
186,186,737071,11893.013237296836
187,187,737072,11914.130237296837
188,188,737073,11914.630237296837
189,189,737074,11993.430237296838
190,190,737075,12014.037237296838
191,191,737076,10348.4330624
192,192,737077,10327.2180624
193,193,737078,10388.8989624
194,194,737079,10407.730462399999
